nct,drug,targets,cond,phase,n,why,llm_cat,futility,llm_conf
NCT00418574,ABAGOVOMAB,MUC16,Ovarian Cancer,PHASE2/PHASE3,888,No benefit on primary end point (RFS); no rationale to collect survival data,efficacy,True,high
NCT00430677,ABATACEPT,CD80;CD86,Systemic Lupus Erythematosus,PHASE2/PHASE3,423,Terminated due to failure to meet the primary efficacy endpoint in the Short-term Period,efficacy,False,high
NCT00534313,ABATACEPT,CD80;CD86,Psoriatic Arthritis,PHASE2,191,Lack of efficacy with respect to skin-related lesions in the short-term phase,efficacy,True,high
NCT04393038,OBEFAZIMOD,NCBP1;NCBP2,COVID-19,PHASE2/PHASE3,509,Interim analysis concludes that the study is futile,efficacy,True,high
NCT00318474,RAMIPRIL,ACE,IgA Nephropathy,PHASE3,184,DSMB recommended stopping the trial because of lack of effect.,efficacy,True,high
NCT01852110,DONEPEZIL,ACHE,Alzheimer's Disease,PHASE2,240,Stage 1 interim analysis of efficacy met the criteria for early trial termination (futility). The trial was terminated at Stage 1; did not proceed to Stage 2.,efficacy,True,high
NCT00814372,PIOGLITAZONE HYDROCHLORIDE,PPARG,Type 2 Diabetes Mellitus,PHASE2,242,MBX-102 did not meet the target efficacy profile of HbA1c change.,efficacy,False,high
NCT00612521,ADENOSINE,ADORA1;ADORA2A;ADORA2B;ADORA3,Coronary Artery Stenosis|Coronary Artery Disease,PHASE3,200,"At half the sample size, the results were negative with no benefit demonstrated with adenosine.",efficacy,True,high
NCT02477800,ADUCANUMAB,APP,Alzheimer's Disease,PHASE3,1653,Study was discontinued based on futility analysis done and not based on safety concerns. Follow-up visits and closing out study activities are completed,efficacy,True,high
NCT02484547,ADUCANUMAB,APP,Alzheimer's Disease,PHASE3,1643,Study was discontinued based on futility analysis done and not based on safety concerns. Follow-up visits and closing out study activities are completed,efficacy,True,high
NCT04611152,AFLIBERCEPT,PGF;VEGFA,Diabetic Macular Edema,PHASE3,460,Study did not meet primary endpoint,efficacy,False,high
NCT04603937,AFLIBERCEPT,PGF;VEGFA,Diabetic Macular Edema,PHASE3,459,Study did not meet primary endpoint,efficacy,False,high
